D00043	Isoflurophate
D00789	Chlorpromazine hydrochloride (JP17/USP) &lt;JP/US&gt;
D00790	Chlorprothixene (JAN/USAN/INN)
D00791	Fluphenazine hydrochloride (JAN/USP) &lt;US&gt;
D00792	Fluphenazine enanthate (JP17/USP)
D00793	Fluphenazine decanoate (JAN/USP) &lt;JP/US&gt;
D00794	Loxapine succinate (USP) &lt;US&gt;
D00795	Mesoridazine besylate (USP)
D00796	Molindone hydrochloride (USP) &lt;US&gt;
D00797	Promazine hydrochloride (USP)
D00798	Thioridazine hydrochloride (JP17/USP) &lt;US&gt;
D00799	Trifluoperazine hydrochloride (JAN/USP) &lt;US&gt;
D00800	Triflupromazine hydrochloride (JAN/USP)
D00809	Amitriptyline hydrochloride (JP17/USP) &lt;JP/US&gt;
D00810	Choline salicylate (JAN/USAN/INN)
D00811	Clomipramine hydrochloride (JP17/USP) &lt;JP/US&gt;
D00812	Desipramine hydrochloride (JAN/USP) &lt;US&gt;
D00813	Ketorolac tromethamine (USP) &lt;US&gt;
D00814	Doxepin hydrochloride (USP) &lt;US&gt;
D00815	Imipramine hydrochloride (JP17/USP) &lt;JP/US&gt;
D00816	Nortriptyline hydrochloride (JP17/USP/INN) &lt;JP/US&gt;
D00817	Bupropion hydrochloride (JAN/USP) &lt;US&gt;
D00818	Maprotiline hydrochloride (JP17/USP) &lt;JP/US&gt;
D00819	Nefazodone hydrochloride (USP) &lt;US&gt;
D00820	Trazodone hydrochloride (JAN/USP) &lt;JP/US&gt;
D00821	Venlafaxine hydrochloride (JAN/USP) &lt;JP/US&gt;
D00822	Citalopram hydrobromide (USP) &lt;US&gt;
D00823	Fluoxetine hydrochloride (JAN/USP) &lt;US&gt;
D00824	Fluvoxamine maleate (JP17/USP) &lt;JP/US&gt;
D00825	Sertraline hydrochloride (JAN/USP) &lt;JP/US&gt;
D00826	Tranylcypromine sulfate (USP) &lt;US&gt;
D00827	Magnesium salicylate (USP)
D00829	Eflornithine hydrochloride (USAN) &lt;US&gt;
D00835	Alfentanil hydrochloride (USP) &lt;US&gt;
D00836	Buprenorphine hydrochloride (JP17/USP) &lt;JP/US&gt;
D00837	Butorphanol tartrate (JAN/USP) &lt;US&gt;
D00838	Dezocine (USAN)
D00839	Hydromorphone hydrochloride (JAN/USP) &lt;JP/US&gt;
D00840	Levomethadyl acetate hydrochloride (USAN)
D00841	Levorphanol tartrate (USP) &lt;US&gt;
D00842	Morphine sulfate (USP) &lt;JP/US&gt;
D00843	Nalbuphine hydrochloride (USAN) &lt;US&gt;
D00844	Oxymorphone hydrochloride (USP) &lt;US&gt;
D00845	Sufentanil citrate (USP) &lt;US&gt;
D00847	Oxycodone hydrochloride (USP) &lt;US&gt;
D00848	Dextromethorphan hydrobromide (USP) &lt;JP&gt;
D00887	Atorvastatin calcium anhydorous &lt;US&gt;
D00889	Cerivastatin sodium (JAN/USAN)
D00892	Fluvastatin sodium (JAN/USP) &lt;JP/US&gt;
D00893	Pravastatin sodium (JP17/USP) &lt;JP/US&gt;
D00898	Dienestrol (USP/INN)
D00903	Diclofenac potassium (USP) &lt;US&gt;
D00904	Diclofenac sodium (JP17/USP) &lt;JP/US&gt;
D00930	Paricalcitol (JAN/USP/INN) &lt;US&gt;
D00939	Alendronate sodium (USP) &lt;JP/US&gt;
D00941	Pamidronate disodium (USP) &lt;JP/US&gt;
D00942	Risedronate sodium (USP) &lt;US&gt;
D00944	Metformin hydrochloride (JP17/USP) &lt;JP/US&gt;
D00945	Pioglitazone hydrochloride (JP17/USP) &lt;JP/US&gt;
D00946	Diethylstilbestrol diphosphate (USP)
D00948	Estropipate (USP) &lt;US&gt;
D00949	Hydroxyprogesterone caproate (JAN/USP/INN) &lt;JP/US&gt;
D00950	Levonorgestrel (JAN/USP/INN) &lt;JP/US&gt;
D00951	Medroxyprogesterone acetate (JP17/USP) &lt;JP/US&gt;
D00952	Megestrol acetate (USP) &lt;US&gt;
D00953	Norethindrone acetate (USP) &lt;US&gt;
D00954	Norgestrel (JP17/USP/INN)
D00955	Nandrolone decanoate (JAN/USP)
D00956	Nandrolone phenpropionate (USP)
D00957	Testosterone cypionate (USP) &lt;US&gt;
D00958	Testosterone enanthate (JP17/USP) &lt;JP/US&gt;
D00959	Testosterone propionate (JP17/USP)
D00960	Anastrozole (JAN/USP/INN) &lt;JP/US&gt;
D00961	Bicalutamide (JAN/USP/INN) &lt;JP/US&gt;
D00962	Clomiphene citrate (USP) &lt;JP/US&gt;
D00963	Exemestane (JAN/USP/INN) &lt;JP/US&gt;
D00964	Letrozole (JAN/USP/INN) &lt;JP/US&gt;
D00965	Nilutamide (USAN/INN) &lt;US&gt;
D00966	Tamoxifen citrate (JP17/USP) &lt;JP/US&gt;
D00967	Toremifene citrate (JAN/USAN) &lt;JP/US&gt;
D00968	Fenoprofen calcium (JAN/USP) &lt;US&gt;
D00969	Meloxicam (JAN/USP/INN) &lt;JP/US&gt;
D00970	Naproxen sodium (USP) &lt;US&gt;
D00972	Betamethasone sodium phosphate (JP17/USP) &lt;JP&gt;
D00973	Cortisone acetate (JP17/USP) &lt;JP/US&gt;
D00975	Dexamethasone sodium phosphate (JAN/USP) &lt;JP/US&gt;
D00976	Hydrocortisone cypionate
D00977	Hydrocortisone sodium phosphate (JP17/USP) &lt;JP&gt;
D00978	Hydrocortisone sodium succinate (JP17/USP) &lt;JP/US&gt;
D00979	Methylprednisolone acetate (JAN/USP) &lt;JP/US&gt;
D00980	Prednisolone acetate (JP17/USP/INN) &lt;JP/US&gt;
D00981	Prednisolone sodium phosphate (JP17/USP) &lt;JP/US&gt;
D00982	Prednisolone tebutate (JAN/USP)
D00983	Triamcinolone acetonide (JP17/USP) &lt;JP/US&gt;
D00984	Triamcinolone diacetate (JAN/USP)
D00985	Triamcinolone hexacetonide (USP/INN)
D00986	Fludrocortisone acetate (JP17/USP) &lt;JP/US&gt;
D00987	Cabergoline (JAN/USP/INN) &lt;JP/US&gt;
D00988	Gonadorelin hydrochloride (USP)
D00989	Leuprolide acetate (USP) &lt;JP/US&gt;
D00990	Nafarelin acetate (USAN) &lt;JP/US&gt;
D00994	Edrophonium chloride (JP17/USP/INN) &lt;JP&gt;
D00995	Neostigmine bromide (JAN/USP/INN) &lt;JP&gt;
D00996	Epinephrine hydrochloride (JAN)
D00997	Tolazoline hydrochloride (JAN/USP)
D00998	Neostigmine methylsulfate (JP17/USP) &lt;JP/US&gt;
D00999	Acetylcholine chloride (JP17/USP/INN) &lt;JP/US&gt;
D01000	Bethanechol chloride (JP17/USP) &lt;JP/US&gt;
D01001	Ambenonium chloride (JP17/INN) &lt;JP&gt;
D01002	Cyclopentolate hydrochloride (JP17/USP) &lt;JP/US&gt;
D01003	Hexocyclium metilsulfate (INN)
D01004	Homatropine hydrobromide (JP17/USP)
D01005	Isopropamide iodide (JAN/USP/INN)
D01006	Oxyphencyclimine hydrochloride (JAN)
D01007	Propiverine hydrochloride (JP17) &lt;JP&gt;
D01008	Apraclonidine hydrochloride (JAN/USP) &lt;JP/US&gt;
D01009	Doxercalciferol (USAN/INN) &lt;US&gt;
D01010	Levothyroxine sodium (USP) &lt;JP/US&gt;
D01011	Liothyronine sodium (JP17/USP) &lt;JP/US&gt;
D01012	Dried thyroid (JP17)
D01017	Dipivefrin hydrochloride (JAN/USP) &lt;JP&gt;
D01019	Metaraminol bitartrate (JAN/USP)
D01020	Methoxamine hydrochloride (JAN)
D01021	Naphazoline nitrate (JP17) &lt;JP&gt;
D01022	Oxymetazoline hydrochloride (JAN/USP) &lt;JP/US&gt;
D01023	Tetrahydrozoline hydrochloride (JAN/USP)
D01024	Tamsulosin hydrochloride (JP17/USP) &lt;JP/US&gt;
D01025	Levobunolol hydrochloride (JAN/USP) &lt;JP/US&gt;
D01026	Sotalol hydrochloride (JAN/USP) &lt;JP/US&gt;
D01028	Ticlopidine hydrochloride (JP17/USP) &lt;JP&gt;
D01029	Tirofiban hydrochloride (USAN) &lt;US&gt;
D01041	Sparteine (INN)
D01044	Flupentixol (INN)
D01049	Nimesulide (JAN/INN)
D01051	Spiperone (JAN/USAN) &lt;JP&gt;
D01056	Benzbromarone (JP17/USAN/INN) &lt;JP&gt;
D01061	Irinotecan hydrochloride (USP) &lt;JP/US&gt;
D01064	Raltitrexed (JAN/USAN/INN)
D01068	Vinblastine sulfate (JP17/USP) &lt;JP/US&gt;
D01069	Cilazapril (USAN) &lt;JP&gt;
D01070	Candoxatril (JAN/USAN/INN)
D01071	Hexobarbital (JAN/INN)
D01077	Methylatropine nitrate (USAN)
D01090	Pamicogrel (JAN/INN)
D01096	Hydroxyzine pamoate (JP17/USP) &lt;JP/US&gt;
D01097	Lazabemide hydrochloride (JAN/USAN)
D01098	Maxacalcitol (JAN/USAN/INN) &lt;JP&gt;
D01101	Bromperidol (JAN/USAN/INN) &lt;JP&gt;
D01103	Trospium chloride (JAN/USP/INN) &lt;US&gt;
D01104	Barnidipine hydrochloride (JAN) &lt;JP&gt;
D01105	Moperone hydrochloride (JAN)
D01107	Milnacipran hydrochloride (JAN/USAN) &lt;JP/US&gt;
D01111	Nateglinide (JP17/USP/INN) &lt;JP/US&gt;
D01112	Adapalene (JAN/USP/INN) &lt;JP/US&gt;
D01113	Loxiglumide (JAN/INN)
D01115	Eplerenone (JP17/USAN/INN) &lt;JP/US&gt;
D01117	Mizolastine (JAN/INN)
D01118	Profenamine hydrochloride (JAN)
D01119	Temocapril hydrochloride (JP17/USAN) &lt;JP&gt;
D01122	Ibuprofen piconol (JP17/USAN) &lt;JP&gt;
D01123	Seratrodast (JAN/USAN/INN) &lt;JP&gt;
D01125	Calcipotriene (USP) &lt;JP/US&gt;
D01128	Ramatroban (JAN/INN) &lt;JP&gt;
D01130	Thiethylperazine maleate (JAN/USP)
D01131	Lafutidine (JP17/INN) &lt;JP&gt;
D01132	Tazarotene (JAN/USAN/INN) &lt;US&gt;
D01133	Pimobendan (JAN/USAN/INN) &lt;JP&gt;
D01134	Epristeride (JAN/USAN/INN)
D01136	Tranexamic acid (JP17/USP/INN) &lt;JP/US&gt;
D01143	Isothipendyl hydrochloride (JAN)
D01145	Azelnidipine (JP17/INN) &lt;JP&gt;
D01146	Iguratimod (JAN/INN) &lt;JP&gt;
D01148	Tolterodine tartrate (JAN/USP) &lt;JP/US&gt;
D01149	Oxabolone cipionate (JAN/INN)
D01150	Methyprylon (JAN/INN)
D01151	Lemildipine (JAN/INN)
D01152	Oxethazaine (JP17/USAN) &lt;JP&gt;
D01155	Gemcitabine hydrochloride (JAN/USP) &lt;JP/US&gt;
D01159	Gestonorone caproate (JAN/USAN) &lt;JP&gt;
D01161	Fulvestrant (JAN/USP/INN) &lt;JP/US&gt;
D01163	Ergonovine maleate (USP) &lt;JP&gt;
D01164	Aripiprazole (JAN/USP/INN) &lt;JP/US&gt;
D01165	Piperidolate hydrochloride (JAN) &lt;JP&gt;
D01171	Monatepil maleate (JAN/USAN)
D01172	Diphenylpyraline hydrochloride (JAN)
D01173	Cilnidipine (JP17/INN) &lt;JP&gt;
D01174	Pheniramine maleate (JAN/USP)
D01175	Carpronium chloride (JAN/INN) &lt;JP&gt;
D01176	Blonanserin (JAN/INN) &lt;JP&gt;
D01177	Remifentanil hydrochloride (JAN/USAN) &lt;JP/US&gt;
D01179	Duloxetine hydrochloride (JAN/USP) &lt;JP/US&gt;
D01180	Trilostane (JAN/USAN) &lt;JP&gt;
D01182	Alprenolol hydrochloride (JP17/USAN)
D01183	Tolfenamic acid (JAN/INN)
D01187	Betazole hydrochloride (JAN)
D01188	Pimilprost (JAN/INN)
D01192	Olopatadine hydrochloride (JP17/USP) &lt;JP/US&gt;
D01193	Osutidine (JAN/INN)
D01196	Acetazolamide sodium (JAN) &lt;JP/US&gt;
D01198	Toborinone (JAN/USAN/INN)
D01201	Tiemonium iodide (JAN/INN)
D01202	Melinamide (JAN)
D01204	Olmesartan medoxomil (JP17/USP) &lt;JP/US&gt;
D01205	Dexmedetomidine hydrochloride (JAN/USP) &lt;JP/US&gt;
D01206	Febuxostat (JAN/USAN/INN) &lt;JP/US&gt;
D01207	Omeprazole sodium (USAN)
D01208	Aluminum clofibrate (JAN/INN)
D01213	Tolvaptan (JAN/USAN/INN) &lt;JP/US&gt;
D01217	Dydrogesterone (JP17/USP/INN) &lt;JP&gt;
D01220	Trapidil (JP17/INN) &lt;JP&gt;
D01223	Capecitabine (JAN/USP/INN) &lt;JP/US&gt;
D01224	Phenylpropanolamine hydrochloride (JAN/USP)
D01226	Sulpiride (JP17/USAN/INN) &lt;JP&gt;
D01227	Bosentan (USAN) &lt;JP/US&gt;
D01228	Distigmine bromide (JP17/INN) &lt;JP&gt;
D01229	Paramethasone acetate (JAN/USAN)
D01230	Flunitrazepam (JP17/USAN/INN) &lt;JP&gt;
D01231	Piroheptine hydrochloride (JAN) &lt;JP&gt;
D01236	Conivaptan hydrochloride (JAN/USAN) &lt;US&gt;
D01238	Bucladesine sodium (JAN) &lt;JP&gt;
D01239	Prednisolone sodium succinate (JP17/USP) &lt;JP&gt;
D01240	Deslanoside (JP17/USP/INN) &lt;JP&gt;
D01241	Penflutizide (JAN/INN)
D01242	Promethazine teoclate (JAN/INN)
D01243	Prilocaine hydrochloride (USP) &lt;US&gt;
D01244	Tegafur (JP17/USAN/INN) &lt;JP&gt;
D01245	Bromazepam (JP17/USAN/INN) &lt;JP&gt;
D01246	Benzylhydrochlorothiazide (JAN) &lt;JP&gt;
D01252	Alclofenac (JAN/USP/INN)
D01253	Clobazam (JAN/USAN/INN) &lt;JP/US&gt;
D01254	Tofisopam (JP17/INN) &lt;JP&gt;
D01259	Flopropione (JP17/INN) &lt;JP&gt;
D01263	Ritodrine hydrochloride (JP17/USP) &lt;JP&gt;
D01264	Daunorubicin hydrochloride (JP17/USP) &lt;JP/US&gt;
D01265	Epitiostanol (JAN/INN)
D01266	Difluprednate (JAN/USAN/INN) &lt;JP/US&gt;
D01268	Cloxazolam (JP17/INN) &lt;JP&gt;
D01269	Solifenacin succinate (JAN/USAN/INN) &lt;JP/US&gt;
D01271	Bufexamac (JAN/INN)
D01272	Clobetasol propionate (JP17/USP) &lt;JP/US&gt;
D01273	Clobetasone butyrate (JAN/USAN) &lt;JP&gt;
D01274	Tesaglitazar (JAN/USAN/INN)
D01275	Doxorubicin hydrochloride (JP17/USP) &lt;JP/US&gt;
D01277	Droxidopa (JP17/USAN/INN) &lt;JP/US&gt;
D01278	Oxazolam (JP17/INN) &lt;JP&gt;
D01279	Flutoprazepam (JP17/INN) &lt;JP&gt;
D01280	Warfarin potassium (JP17) &lt;JP&gt;
D01285	Lofepramine hydrochloride (JAN/USAN) &lt;JP&gt;
D01286	Flutazolam (JAN/INN) &lt;JP&gt;
D01287	Levobupivacaine hydrochloride (JAN/USAN) &lt;JP&gt;
D01290	Nicergoline (JP17/USAN/INN) &lt;JP&gt;
D01292	Medazepam (JP17/INN) &lt;JP&gt;
D01293	Ethyl loflazepate (JAN/INN) &lt;JP&gt;
D01294	Ethynodiol diacetate (JAN/USP)
D01295	Cinnarizine (JAN/USAN/INN)
D01296	Methylphenidate hydrochloride (JAN/USP) &lt;JP/US&gt;
D01297	Pirenzepine hydrochloride (USAN)
D01299	Chlormadinone acetate (JP17/USAN) &lt;JP&gt;
D01301	Methenolone enanthate (USAN)
D01303	Flunarizine hydrochloride (JAN/USAN)
D01304	Amezinium metilsulfate (JAN) &lt;JP&gt;
D01307	Midodrine hydrochloride (JAN/USP) &lt;JP/US&gt;
D01308	Halcinonide (JAN/USP/INN) &lt;US&gt;
D01309	Doxifluridine (JP17/INN) &lt;JP&gt;
D01310	Secobarbital sodium (JAN/USP) &lt;JP/US&gt;
D01315	Methylbenactyzium bromide (JP17/INN)
D01316	Mexazolam (JAN/INN) &lt;JP&gt;
D01317	Meclizine hydrochloride (JAN/USP) &lt;US&gt;
D01318	Diphenidol hydrochloride (USAN) &lt;JP&gt;
D01320	Molsidomine (JAN/USAN/INN)
D01321	Zotepine (JAN/INN) &lt;JP&gt;
D01323	Azosemide (JP17/USAN/INN) &lt;JP&gt;
D01324	Mequitazine (JP17/INN) &lt;JP&gt;
D01325	Tiaprofenic acid (JAN/INN) &lt;JP&gt;
D01326	Aprindine hydrochloride (JP17/USAN) &lt;JP&gt;
D01327	Diflorasone diacetate (JP17/USP) &lt;JP/US&gt;
D01328	Clotiazepam (JP17/INN) &lt;JP&gt;
D01329	Oxendolone (JAN/USAN/INN)
D01332	Ketotifen fumarate (JP17/USAN) &lt;JP&gt;
D01333	Urapidil (JP17/INN) &lt;JP&gt;
D01336	Carbinoxamine maleate (JAN/USP) &lt;US&gt;
D01337	Epoprostenol sodium (JAN/USAN) &lt;JP/US&gt;
D01340	Naloxone hydrochloride (JP17/USP) &lt;JP/US&gt;
D01343	Dimethindene maleate (USAN)
D01344	Fenbufen (JP17/USAN/INN)
D01347	Tramazoline hydrochloride (JAN/USAN) &lt;JP&gt;
D01348	Terguride (JAN/INN)
D01349	Pirbuterol hydrochloride (JAN/USAN)
D01352	Dinoprost tromethamine (JAN/USP)
D01354	Fludiazepam (JP17/INN) &lt;JP&gt;
D01355	Tramadol hydrochloride (JP17/USP) &lt;JP/US&gt;
D01356	Glymidine sodium (JAN/USAN/INN)
D01357	Betamethasone valerate (JP17/USP) &lt;JP/US&gt;
D01358	Mianserin hydrochloride (JAN/USAN) &lt;JP&gt;
D01359	Etomidoline (JAN/INN)
D01360	Clenbuterol hydrochloride (JAN/USP) &lt;JP&gt;
D01362	Tulobuterol hydrochloride (JP17) &lt;JP&gt;
D01366	Bezafibrate (JP17/USAN/INN) &lt;JP&gt;
D01367	Fluorometholone (JP17/USP/INN) &lt;JP/US&gt;
D01368	Cyproterone acetate (JAN/USAN)
D01369	Bevantolol hydrochloride (JAN/USAN) &lt;JP&gt;
D01370	Cladribine (JAN/USP/INN) &lt;JP/US&gt;
D01372	Zopiclone (JAN/INN) &lt;JP&gt;
D01373	Formoterol fumarate (USP)
D01374	Allylestrenol (JAN/INN) &lt;JP&gt;
D01375	Methenolone acetate (USAN) &lt;JP&gt;
D01377	Prifinium bromide (JAN/INN)
D01379	Proscillaridin (JAN/USAN/INN)
D01382	Metharbital (JAN/INN)
D01383	Meperidine hydrochloride (USP) &lt;JP/US&gt;
D01385	Ibudilast (JP17/INN) &lt;JP&gt;
D01386	Ephedrine hydrochloride (JP17/USP) &lt;JP&gt;
D01387	Amcinonide (JAN/USP/INN) &lt;JP/US&gt;
D01390	Isoproterenol hydrochloride (USP) &lt;JP/US&gt;
D01392	Mizoribine (JP17/INN) &lt;JP&gt;
D01397	Ampiroxicam (JP17/INN) &lt;JP&gt;
D01399	Fentanyl citrate (JP17/USP) &lt;JP/US&gt;
D01402	Betamethasone acetate (JAN/USP)
D01404	Sobuzoxane (JAN) &lt;JP&gt;
D01408	Flurazepam hydrochloride (JP17) &lt;JP&gt;
D01410	Benzydamine hydrochloride (JAN/USAN)
D01412	Perazine maleate (JAN)
D01413	Estradiol valerate (JAN/USP/INN) &lt;JP/US&gt;
D01414	Ethylestrenol (USAN/INN)
D01418	Tamibarotene (JAN/INN) &lt;JP&gt;
D01428	Fenoterol hydrobromide (JAN) &lt;JP&gt;
D01432	Exatecan mesylate (USAN)
D01434	Deprodone propionate (JAN) &lt;JP&gt;
D01435	Ethoheptazine citrate (JAN)
D01441	Imatinib mesylate (USAN) &lt;JP/US&gt;
D01442	Hydrocortisone succinate (JP17)
D01444	Bunitrolol hydrochloride (JAN)
D01445	Ifenprodil tartrate (JP17) &lt;JP&gt;
D01447	Thioproperazine mesilate (JAN)
D01448	Trifluoperazine maleate (JAN)
D01450	Bupivacaine hydrochloride (USP) &lt;JP/US&gt;
D01451	Scopolamine butylbromide (JP17) &lt;JP&gt;
D01452	Isopropyl unoprostone (JAN) &lt;JP&gt;
D01453	Caffeine hydrate (JP17) &lt;JP&gt;
D01454	Bupranolol hydrochloride (JP17)
D01455	Cifenline succinate (USAN) &lt;JP&gt;
D01460	Homochlorcyclizine hydrochloride (JP17) &lt;JP&gt;
D01462	Lisuride maleate (JAN)
D01463	Diponium bromide (JAN/INN)
D01464	Flumethasone pivalate (USP)
D01467	Roxatidine acetate hydrochloride (JP17/USAN) &lt;JP&gt;
D01468	Nemonapride (JAN/INN) &lt;JP&gt;
D01469	Amosulalol hydrochloride (JP17) &lt;JP&gt;
D01471	Esatenolol (JAN/INN)
D01472	Tacalcitol hydrate (JP17) &lt;JP&gt;
D01475	Flurbiprofen axetil (JAN) &lt;JP&gt;
D01476	Nandrolone cyclohexylpropionate (JAN)
D01477	Opipramol hydrochloride (JAN/USAN)
D01478	Ebastine (JP17/USAN/INN) &lt;JP&gt;
D01481	Dihydrocodeine phosphate (JP17) &lt;JP&gt;
D01482	Pipamperone hydrochloride (JAN) &lt;JP&gt;
D01485	Propericiazine (JAN) &lt;JP&gt;
D01491	Butropium bromide (JP17/INN) &lt;JP&gt;
D01492	Bucumolol hydrochloride (JP17)
D01500	Trimebutine maleate (JP17) &lt;JP&gt;
D01504	Bufetolol hydrochloride (JP17) &lt;JP&gt;
D01505	Talipexole hydrochloride (JAN) &lt;JP&gt;
D01510	Dexamethasone metasulfobenzoate sodium (JAN) &lt;JP&gt;
D01512	Befunolol hydrochloride (JAN)
D01513	Alminoprofen (JP17/INN)
D01514	Etizolam (JP17/INN) &lt;JP&gt;
D01516	Tretinoin tocoferil (JAN) &lt;JP&gt;
D01518	Alfacalcidol (JAN/INN) &lt;JP&gt;
D01519	Ethyl piperidinoacetylaminobenzoate (JAN) &lt;JP&gt;
D01520	Levomepromazine hydrochloride (JAN/USAN) &lt;JP&gt;
D01521	Pipethanate hydrochloride (JAN)
D01522	Tiapride hydrochloride (JP17) &lt;JP&gt;
D01527	Epidihydrocholesterin (JAN)
D01532	Bevonium methylsulfate (JAN)
D01533	Mestanolone (JAN/INN)
D01534	Dromostanolone propionate (USAN)
D01537	Xaliproden hydrochloride (JAN)
D01538	Valethamate bromide (JAN)
D01545	Aceclofenac (JAN/INN)
D01546	Dothiepin hydrochloride (USAN) &lt;JP&gt;
D01547	Zaltoprofen (JP17/INN) &lt;JP&gt;
D01548	Mosapramine hydrochloride (JAN) &lt;JP&gt;
D01549	Imidapril hydrochloride (JP17) &lt;JP&gt;
D01551	Beraprost sodium (JP17/USAN) &lt;JP&gt;
D01553	Manidipine hydrochloride (JP17) &lt;JP&gt;
D01554	Pilsicainide hydrochloride hydrate (JP17) &lt;JP&gt;
D01557	Glycol salicylate (JAN)
D01562	Aranidipine (JAN/INN) &lt;JP&gt;
D01564	Rilmazafone hydrochloride hydrate (JAN) &lt;JP&gt;
D01565	Indometacin farnesil (JAN) &lt;JP&gt;
D01571	Moxisylyte hydrochloride (JAN)
D01572	Pralidoxime iodide (JAN/USAN) &lt;JP&gt;
D01573	Etilefrine hydrochloride (JP17) &lt;JP&gt;
D01578	Pranoprofen (JP17/INN) &lt;JP&gt;
D01580	Lynestrenol (JAN/USAN)
D01581	Flufenamic acid (JAN/USAN/INN)
D01582	Acemetacin (JP17/INN) &lt;JP&gt;
D01583	Pirfenidone (JAN/USAN/INN) &lt;JP/US&gt;
D01589	Mabuterol hydrochloride (JAN)
D01592	Betahistine mesilate (JP17) &lt;JP&gt;
D01593	Nimetazepam (JAN/INN)
D01599	Gliclazide (JP17/INN) &lt;JP&gt;
D01600	Diphenylpiperidinomethyldioxolan iodide (JAN)
D01602	Mepitiostane (JP17/INN) &lt;JP&gt;
D01603	Bethanidine sulfate (JAN/USAN)
D01604	Efonidipine hydrochloride ethanolate (JAN) &lt;JP&gt;
D01605	Meticrane (JP17/INN)
D01613	Azasetron hydrochloride (JAN) &lt;JP&gt;
D01615	Dexamethasone palmitate (JAN) &lt;JP&gt;
D01616	Sodium prasterone sulfate hydrate (JP17) &lt;JP&gt;
D01617	Estradiol dipropionate (JAN)
D01619	Hydrocortisone butyrate (JP17/USP) &lt;JP/US&gt;
D01621	Retinol acetate (JP17)
D01624	Sarpogrelate hydrochloride (JP17) &lt;JP&gt;
D01627	Diphenylpyraline teoclate (JAN)
D01630	Propentofylline (JAN/INN)
D01631	Pentagastrin (JAN/USAN/INN)
D01632	Dexamethasone dipropionate (USAN) &lt;JP&gt;
D01634	Piretanide (JAN/USAN/INN)
D01635	Methoxyphenamine hydrochloride (JAN)
D01637	Betamethasone dipropionate (JP17/USP) &lt;JP/US&gt;
D01639	Tibolone (JAN/USAN/INN)
D01641	Hexestrol (JAN/INN)
D01648	Hyoscyamine methylbromide (JAN)
D01652	Apafant (JAN/USAN/INN)
D01653	Benserazide hydrochloride (JP17)
D01654	Bepotastine besylate (USAN) &lt;JP/US&gt;
D01657	Lormetazepam (JAN/USAN/INN) &lt;JP&gt;
D01662	Falecalcitriol (JAN/INN) &lt;JP&gt;
D01665	Voglibose (JP17/USAN/INN) &lt;JP&gt;
D01667	Delapril hydrochloride (JAN/USAN) &lt;JP&gt;
D01672	Gabexate mesilate (JP17) &lt;JP&gt;
D01674	Naftopidil (JP17/INN) &lt;JP&gt;
D01675	Felbinac (JP17/USAN/INN) &lt;JP&gt;
D01683	Ozagrel hydrochloride hydrate (JAN) &lt;JP&gt;
D01684	Ozagrel sodium (JP17) &lt;JP&gt;
D01685	Cetrorelix acetate (JAN/USAN) &lt;JP/US&gt;
D01688	Epalrestat (JP17/INN) &lt;JP&gt;
D01689	Loteprednol etabonate (JAN/USAN) &lt;US&gt;
D01690	Vesnarinone (JAN/USAN/INN)
D01691	Nipradilol (JAN/INN) &lt;JP&gt;
D01692	Alfuzosin hydrochloride (JAN/USAN) &lt;US&gt;
D01697	Colforsin daropate hydrochloride (JAN) &lt;JP&gt;
D01698	Dalcotidine (JAN/INN)
D01699	Darifenacin hydrobromide (JAN/USAN) &lt;US&gt;
D01701	Difeterol hydrochloride (JAN)
D01703	Ciclesonide (JAN/USAN/INN) &lt;JP/US&gt;
D01704	Cilomilast (JAN/USAN/INN)
D01705	Clemizole hydrochloride (JAN)
D01708	Fluticasone propionate (JAN/USP) &lt;JP/US&gt;
D01709	Loxoprofen sodium hydrate (JP17) &lt;JP&gt;
D01712	Theophylline sodium acetate (JAN)
D01713	Epinastine hydrochloride (JAN) &lt;JP/US&gt;
D01715	Risarestat (INN)
D01717	Levocabastine hydrochloride (JAN/USP) &lt;JP&gt;
D01718	Mofezolac (JAN/INN) &lt;JP&gt;
D01737	Nandrolone furylpropionate (JAN)
D01740	Barbital (JP17/INN)
D01741	Celiprolol hydrochloride (JAN/USAN) &lt;JP&gt;
D01742	Clebopride malate (JP17)
D01743	Halopredone acetate (JAN/USAN)
D01744	Brotizolam (JP17/USAN/INN) &lt;JP&gt;
D01745	Domperidone (JP17/USAN/INN) &lt;JP&gt;
D01747	Idarubicin hydrochloride (JP17/USP) &lt;JP/US&gt;
D01748	Isoxsuprine hydrochloride (JP17/USP) &lt;JP&gt;
D01758	Haloxazolam (JP17/INN) &lt;JP&gt;
D01764	Diflucortolone valerate (JP17) &lt;JP&gt;
D01765	Proglumetacin maleate (JAN) &lt;JP&gt;
D01767	Tenoxicam (JAN/USAN/INN)
D01768	Benoxinate hydrochloride (USP) &lt;JP&gt;
D01769	Vindesine sulfate (JAN/USAN) &lt;JP&gt;
D01771	Proxyphylline (JAN/INN) &lt;JP&gt;
D01773	Oxatomide (JAN/USAN/INN) &lt;JP&gt;
D01782	Triprolidine hydrochloride (USP)
D01783	Rolipram (JAN/USAN/INN)
D01784	Carmofur (JP17/INN)
D01785	Pirmenol hydrochloride hydrate (JAN) &lt;JP&gt;
D01786	Mebhydrolin napadisilate (JAN)
D01788	Amfenac sodium (USAN)
D01794	Bopindolol malonate (JAN)
D01795	Tilisolol hydrochloride (JAN)
